server_id,location,timestamp,cpu_usage,memory_usage,disk_usage,network_latency,power_consumption,temperature,fan_speed,error_logs_count,last_maintenance,operating_system,uptime_days,server_load,redundancy_level,predictive_risk,server_age,failure_event,maintenance_action
ffa13780,EU-West,2025-01-28 16:04:12.209176,69.97,54.24,25.47,17.88,326.05,44.26,3235,16,2024-08-18 16:04:12.209176,Windows,315,65.86,High,0.84,5,1,Software Update
40fe4195,US-East,2024-10-09 03:40:31.637078,45.77,65.38,50.98,19.6,455.48,39.79,1923,3,2024-09-26 03:40:31.637078,Windows,22,65.48,High,0.65,4,1,Software Update
e739e442,US-East,2025-02-25 18:24:51.864251,34.54,60.66,93.56,24.88,245.36,55.26,1296,4,2025-02-18 18:24:51.864251,Red Hat,356,76.12,Medium,0.79,7,1,Replace Fan
b7d8e1cf,EU-West,2025-01-03 08:59:22.249793,38.5,78.57,90.3,17.14,204.02,37.0,3915,3,2024-09-28 08:59:22.249793,MacOS,244,44.68,High,0.63,4,0,Upgrade RAM
90f54c6f,EU-West,2024-04-28 09:12:21.059746,75.31,69.89,67.34,22.89,265.99,49.75,2599,13,2024-03-07 09:12:21.059746,Windows,186,39.39,Medium,0.79,3,0,Replace Disk
c6256789,EU-West,2024-08-21 20:32:59.610944,55.73,56.35,22.27,25.02,207.57,33.95,3634,4,2024-07-29 20:32:59.610944,Windows,238,46.18,High,0.6,3,1,None
2a08e709,US-East,2024-07-22 09:46:45.108264,70.06,48.3,75.21,22.45,393.15,71.54,1052,11,2024-05-28 09:46:45.108264,Linux,209,64.06,Low,0.89,5,1,Check Network
791143f0,Asia-Pacific,2024-11-11 02:50:34.800248,67.28,56.68,27.65,18.8,327.12,19.26,3590,5,2024-10-08 02:50:34.800248,Windows,340,40.52,Low,0.56,2,0,None
9013b50f,US-West,2024-04-11 11:05:35.609155,43.16,62.05,65.25,22.87,322.46,44.35,4183,3,2024-03-05 11:05:35.609155,Ubuntu Server,97,86.65,High,0.69,5,1,Upgrade RAM
b18c53ce,EU-West,2024-07-04 14:58:49.456468,43.84,72.51,25.85,13.76,255.9,22.15,4671,7,2024-04-22 14:58:49.456468,Windows,93,71.46,High,0.46,1,1,None
88cce0e7,US-West,2025-02-23 18:57:15.441493,64.95,67.04,46.07,18.7,315.28,39.62,3928,7,2024-09-23 18:57:15.441493,Ubuntu Server,134,30.04,Low,0.59,1,0,None
96d81ec9,US-East,2024-12-19 03:35:00.513411,40.92,64.81,39.6,23.45,329.97,45.18,4277,7,2024-06-26 03:35:00.513411,Red Hat,29,62.89,Medium,0.56,2,1,None
6ae45ff9,Asia-Pacific,2024-03-31 19:03:08.993874,32.52,55.93,69.48,25.01,305.25,23.09,1503,1,2024-01-19 19:03:08.993874,Windows,360,88.09,High,0.42,2,1,None
7f3f3310,Asia-Pacific,2024-12-01 08:04:14.961981,47.61,60.98,26.8,19.47,485.4,30.29,4425,8,2024-09-28 08:04:14.961981,Windows,75,71.63,Low,0.69,5,1,Check Network
df2d5d64,Asia-Pacific,2024-05-22 01:52:14.506813,54.21,52.2,21.99,18.07,289.41,23.88,2339,4,2024-01-09 01:52:14.506813,Red Hat,207,27.85,Medium,0.51,2,1,None
03833d85,EU-West,2024-06-08 18:37:38.162400,86.76,77.32,89.15,10.19,212.89,30.55,4831,13,2024-04-29 18:37:38.162400,Red Hat,60,30.04,Medium,1.0,7,1,Replace Fan
2889e1d4,EU-West,2024-11-22 06:12:56.094271,45.71,60.96,22.85,21.01,310.67,28.98,3576,6,2024-08-17 06:12:56.094271,Red Hat,193,24.72,Medium,0.47,1,1,None
0f72b21c,EU-West,2024-07-20 01:06:22.559956,51.53,51.95,52.3,21.38,437.25,45.65,2559,7,2024-01-24 01:06:22.559956,Windows,146,51.9,Medium,0.97,10,1,Check Network
0f8af098,Asia-Pacific,2025-01-01 22:42:25.812510,58.36,77.32,64.05,21.57,225.98,35.94,4511,4,2024-10-28 22:42:25.812510,Red Hat,57,44.73,Medium,0.96,9,1,Software Update
8376073b,US-West,2024-08-01 11:39:57.241364,24.83,32.0,23.19,21.06,365.11,38.11,2577,4,2024-04-19 11:39:57.241364,Red Hat,161,49.45,Medium,0.59,6,0,None
233bbb1d,EU-West,2024-07-05 17:30:32.287648,37.78,52.09,34.41,23.08,265.61,31.73,3833,3,2024-06-13 17:30:32.287648,Windows,227,63.48,High,0.86,10,0,Upgrade RAM
413cfe55,EU-West,2025-02-19 11:54:15.556422,59.84,65.09,21.25,26.98,499.78,41.95,3026,6,2024-11-12 11:54:15.556422,Red Hat,58,23.88,Low,0.92,8,1,Software Update
8208dca8,US-East,2024-08-15 21:00:09.279665,38.44,50.6,48.89,21.81,385.8,34.03,1704,4,2024-05-20 21:00:09.279665,Windows,252,84.22,Medium,0.77,8,0,Replace Disk
0db0fbfa,EU-West,2024-05-25 14:52:06.710912,49.2,57.32,77.31,13.55,244.73,43.48,3362,6,2024-04-08 14:52:06.710912,Linux,251,65.92,Low,0.97,10,1,Check Network
6da2b3bb,Asia-Pacific,2024-05-29 21:40:31.539621,41.13,48.21,44.39,17.12,388.99,37.51,1307,2,2023-12-20 21:40:31.539621,Ubuntu Server,116,46.05,Low,0.58,4,0,None
4689c93b,US-West,2025-01-28 02:25:51.036204,32.17,60.83,67.38,19.23,270.31,37.5,2507,3,2024-10-30 02:25:51.036204,Linux,86,64.83,Medium,0.67,6,1,Replace Disk
ace431d6,US-West,2024-07-30 02:14:05.491222,48.57,51.2,57.54,21.73,228.17,36.27,2451,2,2024-07-18 02:14:05.491222,Windows,202,88.21,High,0.76,7,1,Check Network
